id,question_text,created_at
395,"과묵한 매력이 있는 사람은?","2023-05-02 05:32:49"
396,"귀신의 집에서 나를 가장 잘 지켜줄 것 같은 사람은?","2023-05-02 05:32:49"
397,"기대고 싶은 사람은?","2023-05-02 05:32:49"
398,"등빨이 가장 좋은 사람은?","2023-05-02 05:32:50"
399,"무슨 일이 있어도 내 편이 되어줄 것 같은 사람은?","2023-05-02 05:32:50"
400,"어려운 일을 잘 도와줄 것 같은 사람은?","2023-05-02 05:32:50"
401,"제일 듬직한 사람은?","2023-05-02 05:32:51"
402,"제일 성숙한 것 같은 사람은?","2023-05-02 05:32:51"
403,"존재만으로도 힘이 되는 사람은?","2023-05-02 05:32:51"
404,"매장 환불을 가장 똑부러지게 잘 할 것같은 사람은?","2023-05-02 05:32:51"
405,"양치를 제일 꼼꼼하게 할 것 같은 사람은?","2023-05-02 05:32:51"
406,"가장 꿈이 클 것 같은 사람은?","2023-05-02 05:32:52"
407,"가장 빨리 다시 만날 것 같은 사람?","2023-05-02 05:32:52"
408,"가장 카리스마가 있는 사람은?","2023-05-02 05:32:52"
409,"향기가 좋은 사람은?","2023-05-02 05:32:52"
410,"발냄새가 호두과자 냄새일 것 같은 사람은?","2023-05-02 05:32:52"
411,"노는걸 제일 좋아하는 사람은?","2023-05-02 05:32:53"
412,"릴스 보느라 잠을 못 잘 것 같은 사람은?","2023-05-02 05:32:53"
413,"만약 동성을 만난다면 이 중 누구?","2023-05-02 05:32:53"
414,"말빨로 다 해결할 것 같은 사람은?","2023-05-02 05:32:53"
415,"목선이 가장 이쁜 사람은?","2023-05-02 05:32:53"
416,"발가락에서 페브리즈향이 날 것 같은 사람은?","2023-05-02 05:32:54"
417,"범인 다 때려잡는 경찰이 될 것 같은 사람은?","2023-05-02 05:32:54"
418,"비트코인으로 대박날 것 같은 사람은?","2023-05-02 05:32:54"
419,"상상력 G.O.A.T","2023-05-02 05:32:54"
420,"성인이 되고, 술이 제일 셀것 같은 사람은?","2023-05-02 05:32:55"
421,"세상 제일 착한 친구","2023-05-02 05:32:55"
422,"신비스러운 느낌이 드는 사람은?","2023-05-02 05:32:55"
