id,distance,nearby_school_id,school_id
119873,0.0126307487,123,91
119874,0.0128333773,114,91
119875,0.0132885983,113,91
119876,0.0174974816,84,91
119877,0.0186959619,99,91
119878,0.0210302767,120,91
119879,0.0222804497,95,91
119880,0,91,91
119881,0.0000398964,91,90
119882,0.001566949,94,90
119883,0.0126093157,123,90
119884,0.0128635615,114,90
119885,0.0133160934,113,90
119886,0.0175187602,84,90
119887,0.0187324042,99,90
119888,0.0210193546,120,90
119889,0.0222811062,95,90
119890,0,90,90
119891,0.0015274158,91,94
119892,0.001566949,90,94
119893,0.011583248,114,94
119894,0.0121334981,113,94
119895,0.0133421524,123,94
119896,0.0169252644,84,94
119897,0.0174176173,99,94
119898,0.0212993446,120,94
119899,0.0225162474,95,94
119900,0,94,94
119901,0.008808751,92,89
119902,0.0103961751,116,89
119903,0.0111203409,93,89
119904,0.0114905469,80,89
119905,0.0151624491,121,89
119906,0.0180144821,112,89
119907,0.0194091723,63,89
119908,0.0206541405,82,89
119909,0.0212061024,87,89
119910,0,89,89
119911,0.0116726358,84,95
119912,0.0159510762,98,95
119913,0.0222428797,99,95
119914,0.0222804497,91,95
119915,0.0222811062,90,95
119916,0.0225162474,94,95
119917,0.0298771421,85,95
119918,0.0306512721,44,95
119919,0.0310665643,61,95
119920,0,95,95
119921,0.0024192605,92,93
119922,0.0109223837,82,93
119923,0.0111203409,89,93
119924,0.0114194744,112,93
119925,0.0156419971,87,93
119926,0.0158456621,83,93
119927,0.017827237,80,93
119928,0.0186571607,100,93
119929,0.018788621,116,93
119930,0,93,93
119931,0.0105782074,84,99
119932,0.0151360545,107,99
119933,0.0165825746,106,99
119934,0.0174176173,94,99
119935,0.0176341806,114,99
119936,0.0186959619,91,99
119937,0.0187324042,90,99
119938,0.0189892537,113,99
119939,0.0222428797,95,99
119940,0,99,99
119941,0.0117133495,53,96
119942,0.0295354145,52,96
119943,0.0301007391,54,96
119944,0.0418494564,61,96
119945,0.0428133453,41,96
119946,0.0468001228,98,96
119947,0.0469458126,40,96
119948,0.0484133291,44,96
119949,0.0536577284,58,96
119950,0,96,96
119951,0.0024192605,93,92
119952,0.008808751,89,92
119953,0.0124347672,82,92
119954,0.012844334,112,92
119955,0.0157574629,87,92
119956,0.0165182732,80,92
119957,0.0171091798,116,92
119958,0.0175112826,83,92
119959,0.0192877063,121,92
119960,0,92,92
119961,0.0159510762,95,98
119962,0.0219185319,61,98
119963,0.0237327691,54,98
119964,0.0250200478,44,98
119965,0.0262754559,41,98
119966,0.0264585624,52,98
119967,0.0271815384,84,98
119968,0.0331873323,55,98
119969,0.0360953935,85,98
119970,0,98,98
119971,0.0012980771,105,101
119972,0.0068282578,102,101
119973,0.0140453768,107,101
119974,0.0147152085,113,101
119975,0.0151754431,114,101
119976,0.0219068112,106,101
119977,0.0259605781,120,101
119978,0.0267568643,94,101
119979,0.0271803125,99,101
119980,0,101,101
119981,0.0068282578,101,102
119982,0.0080236627,105,102
119983,0.01554313,113,102
119984,0.0165018295,114,102
119985,0.0201636233,107,102
119986,0.0212374434,120,102
119987,0.0256655344,123,102
119988,0.0273989035,94,102
119989,0.0276379424,76,102
119990,0,102,102
119991,0.0122848688,88,97
119992,0.014949117,86,97
119993,0.0209627883,62,97
119994,0.0225536047,87,97
119995,0.0248847863,43,97
119996,0.0249597531,37,97
119997,0.0254868311,42,97
119998,0.029209295,51,97
119999,0.0301071446,83,97
120000,0,97,97
120001,0.0093184609,83,100
120002,0.0118160761,82,100
120003,0.0131934162,104,100
120004,0.0160860813,111,100
120005,0.0163746303,109,100
120006,0.0186571607,93,100
120007,0.019805172,112,100
120008,0.020318715,87,100
120009,0.0209514653,92,100
120010,0,100,100
120011,0.0091580639,107,106
120012,0.0165825746,99,106
120013,0.0206234424,105,106
120014,0.0219068112,101,106
120015,0.0231175146,114,106
120016,0.0240748941,113,106
120017,0.0269928818,84,106
120018,0.0285171719,102,106
120019,0.0299576538,94,106
120020,0,106,106
