id,is_superuser,is_staff,gender,point,friend_id_list,is_push_on,created_at,block_user_id_list,hide_user_id_list,ban_status,report_count,alarm_count,pending_chat,pending_votes,group_id
838641,0,0,F,592,"[838656, 837635, 839172, 841234, 843285, 840216, 840729, 841242, 841249, 842788, 840233, 842301, 838208, 839745, 839746, 839235, 838727, 838742, 837724, 840797, 840287, 837739, 840817, 838776, 837767, 840863, 839845, 844455, 837806, 838343, 911052, 837839, 841425, 838355, 840919, 841441, 839401, 841449, 840949, 841475, 838424, 840478, 838434, 837923, 838435, 844578, 842024, 841531, 838469, 848711, 838986, 838501, 844133, 845673, 838508, 838509, 840559, 840563, 840567, 838523, 841604, 842134, 838561, 839083, 840623, 838579, 838582, 839102, 842183, 838601, 839120, 839634, 842202, 844771, 842213, 842731, 851439, 839153, 841215, 1478970, 845296, 839794, 839715, 1014613, 1239384, 1020810, 1532110, 1526165, 1557694, 1565030, 1567854, 840627]",1,"2023-04-20 00:10:15.526811",[],"[838346, 841748, 840100, 839313, 838236, 838351, 838596, 838410, 840860, 840396, 840701, 840816, 838362]",N,0,0,0,21,355
838642,0,0,F,382,"[849928, 847375, 849938, 849946, 849436, 849438, 849439, 849441, 849442, 849443, 849444, 849445, 849446, 849450, 849451, 849452, 849963, 849455, 863279, 849460, 849464, 849466, 849979, 849475, 1242179, 873541, 868934, 1057867, 849498, 849502, 850039, 860812, 849549, 863376, 1482389, 849558, 850077, 838305, 873636, 874669, 869043, 879801, 992977, 849620, 1214175, 850152, 1298670, 851695, 850672, 1336066, 849670, 850217, 873265, 851250, 872766, 850755, 850761, 952651, 1130315, 894292, 850267, 849762, 879980, 1397615, 850303, 853380, 850319, 1401244, 850344, 850866, 913330, 855993, 868284, 881597, 1105342, 858053, 850388, 871382, 850392]",1,"2023-04-20 00:11:00.962160",[],[],N,0,0,0,37,356
838643,0,0,F,2478,"[839426, 838915, 838786, 912396, 839310, 839056, 838425, 839705, 838939, 839719, 838830, 837806, 838579, 838457, 837697, 838341, 838601, 838986, 839120, 838353, 840275, 838995, 838742, 839001, 838489, 838625, 838883, 838511, 845940, 1197300, 839036, 1522053, 1574022]",1,"2023-04-20 00:11:22.575302",[],[],N,0,1,0,0,291
838644,0,0,M,79,"[849420, 858638, 841744, 839186, 838681, 843815, 838718, 839237, 838743, 846937, 838758, 844902, 1374825, 1527920, 838777, 839812, 844934, 882822, 838796, 839310, 838288, 839339, 837806, 1553075, 840372, 850617, 842938, 844987, 841727, 838341, 854213, 838345, 838346, 838351, 838353, 838355, 846551, 838362, 838363, 838367, 838883, 838887, 845043, 845051, 838910, 838402, 839426, 838410, 838925, 848142, 843538, 838424, 838425, 997146, 845596, 838439, 846122, 845102, 837940, 838457, 843581, 838986, 838476, 1144652, 838480, 839504, 857430, 838489, 838494, 838498, 839526, 838508, 838511, 840050, 838515, 838523, 842111, 839552, 839039, 845192, 1530256, 838551, 838552, 1310625, 849833, 838579, 841150, 838596, 862150, 841672, 838601, 839626, 839120, 840660, 839127, 839639, 841692, 838624, 838630, 842736, 879090, 1020915, 838133, 877052, 838653, 839678, 839679]",1,"2023-04-20 00:12:13.484542",[],[],N,0,0,0,1,292
838645,0,0,F,1542,"[869387, 852235, 849812, 838549, 838293, 838295, 968212, 838297, 985876, 838429, 838303, 838304, 838433, 870304, 865055, 850217, 868138, 864299, 838315, 862765, 837806, 838446, 838449, 852794, 885051, 838332, 876988, 850877, 872387, 838340, 838597, 838854, 839621, 870982, 843849, 899658, 838734, 838352, 838993, 869327, 853203, 839124, 838484, 874453, 838360, 840156, 838365, 880096, 839038, 870245, 838504, 838505, 991355, 838638, 837617, 869361, 871538, 869233, 877173, 877943, 840059, 885374, 868223, 906723, 1420005, 1084411, 908069, 1149107, 857996, 1578108]",1,"2023-04-20 00:13:35.651446",[],[],N,0,2,0,94,296
838646,0,0,F,664,"[838656, 838786, 839812, 853638, 838410, 839440, 838675, 838682, 839458, 839720, 839083, 839595, 839339, 844715, 839599, 840497, 838966, 839866, 838596, 838469, 838599, 839627, 839756, 843981, 841039, 839120, 838355, 838742, 839127, 839002, 838362, 838748, 841051, 838630, 838758, 838508, 851439, 838780]",1,"2023-04-20 00:16:09.015126",[],[],N,0,1,0,0,323
838648,0,0,M,2188,"[837762, 837635, 838659, 838279, 837767, 838670, 838035, 838163, 838165, 837915, 837795, 837924, 837803, 837682, 837939, 838580, 838709, 841139, 838338, 837956, 838602, 838611, 837848, 837722, 837726, 837991, 837738, 837739, 837869, 838512, 837882, 837883, 837806, 846184, 855108, 872429, 839769, 1125830, 1365088]",1,"2023-04-20 00:17:24.722271",[],[],N,0,1,0,29,192
838649,0,0,F,994,"[838016, 839427, 837637, 837640, 837641, 840721, 837651, 838292, 838420, 838038, 837914, 837661, 844446, 838047, 837535, 838687, 841630, 865438, 839206, 837672, 838824, 846633, 839211, 837806, 837681, 838194, 837692, 838719, 837954, 837707, 840783, 839644, 837600, 837989, 837990, 837607, 838121, 845675, 838901, 839925, 837884]",1,"2023-04-20 00:18:16.120690",[],[],N,0,1,0,11,158
838650,0,0,M,51,"[838921, 838793, 848781, 839310, 838288, 838929, 838417, 838934, 838551, 849440, 838439, 838568, 839083, 838830, 838579, 852152, 838457, 838596, 838341, 839877, 838345, 838351, 838480, 844760, 838883, 838628, 838757, 838887, 838514, 839796, 838903, 838652, 839037, 838911, 841463]",0,"2023-04-20 00:18:45.551989",[],[],N,0,1,0,18,970
838651,0,0,F,1580,"[845316, 839184, 843803, 844848, 849463, 843326, 857168, 845400, 901215, 848485, 845418, 845421, 843382, 844924, 845437, 843907, 841355, 841868, 840335, 844946, 844960, 844968, 845993, 844975, 847024, 844977, 841399, 849594, 840901, 844997, 843976, 843469, 877266, 842969, 843998, 844517, 846056, 844521, 845038, 845551, 847091, 846580, 948474, 845063, 845578, 845080, 846108, 843552, 844587, 844079, 844594, 844597, 843579, 844094, 839999, 873281, 844100, 845638, 840012, 844625, 845142, 845147, 844131, 840043, 845168, 844146, 846201, 845185, 845187, 845195, 841118, 840096, 845217, 844711, 843178, 868785, 935865, 841146, 845247, 840137, 843228, 843748, 1541870]",1,"2023-04-20 00:19:28.055135",[],"[841058, 841427, 843869, 843796, 844210, 841921, 844558, 844218, 844975, 841253]",N,0,1,0,27,357
