id,reason,created_at,block_user_id,user_id
388,"모르는 사람임","2023-05-06 16:59:00",906193,900087
389,"친구 사이가 어색해짐","2023-05-06 17:03:26",847973,915664
390,"사칭 계정","2023-05-06 17:09:58",920465,911385
392,"친구 사이가 어색해짐","2023-05-06 17:26:38",841284,911470
393,"모르는 사람임","2023-05-06 17:28:18",925193,911572
394,"모르는 사람임","2023-05-06 17:28:38",925193,911572
395,"모르는 사람임","2023-05-06 17:28:48",925193,911572
396,"친구 사이가 어색해짐","2023-05-06 17:43:15",930901,924797
397,"친구 사이가 어색해짐","2023-05-06 17:44:24",908955,924797
398,"친구 사이가 어색해짐","2023-05-06 17:44:38",928786,924797
399,"친구 사이가 어색해짐","2023-05-06 17:53:09",872406,928352
400,"친구 사이가 어색해짐","2023-05-06 17:53:26",900997,866236
403,"모르는 사람임","2023-05-06 18:10:32",931041,928215
404,"친구 사이가 어색해짐","2023-05-06 18:18:24",897398,930355
405,"사칭 계정","2023-05-06 18:25:56",890439,895068
406,"모르는 사람임","2023-05-06 18:30:35",897681,863494
407,"모르는 사람임","2023-05-06 18:38:09",876371,909191
408,"모르는 사람임","2023-05-06 21:25:58",904346,911301
415,"나랑 관련 없는 질문을 자꾸 보냄","2023-05-06 22:36:26",905954,908035
416,"나랑 관련 없는 질문을 자꾸 보냄","2023-05-06 22:47:55",928852,876875
417,"친구 사이가 어색해짐","2023-05-06 23:18:19",924045,932053
418,"모르는 사람임","2023-05-06 23:24:14",893430,923118
419,"모르는 사람임","2023-05-06 23:24:50",925138,923118
420,"모르는 사람임","2023-05-06 23:25:43",897341,923118
421,"친구 사이가 어색해짐","2023-05-06 23:32:48",929747,893825
422,"친구 사이가 어색해짐","2023-05-06 23:40:50",899003,896552
423,"모르는 사람임","2023-05-06 23:43:11",928875,932248
424,"친구 사이가 어색해짐","2023-05-06 23:46:26",920439,907529
427,"모르는 사람임","2023-05-07 00:06:02",917905,917810
429,"친구 사이가 어색해짐","2023-05-07 00:16:07",931731,906633
432,"친구 사이가 어색해짐","2023-05-07 00:23:18",910457,897466
433,"모르는 사람임","2023-05-07 00:32:53",901924,900056
434,"모르는 사람임","2023-05-07 00:33:05",896361,900056
438,"모르는 사람임","2023-05-07 00:55:48",896547,900687
440,"친구 사이가 어색해짐","2023-05-07 00:57:47",915383,933720
441,"모르는 사람임","2023-05-07 01:03:34",931995,897212
442,"모르는 사람임","2023-05-07 01:03:51",929767,926487
444,"모르는 사람임","2023-05-07 01:04:37",846569,904893
445,"모르는 사람임","2023-05-07 01:05:57",886196,923118
446,"사칭 계정","2023-05-07 01:06:53",933100,892418
447,"친구 사이가 어색해짐","2023-05-07 01:11:51",912549,908325
448,"모르는 사람임","2023-05-07 01:17:28",882704,868165
449,"나랑 관련 없는 질문을 자꾸 보냄","2023-05-07 01:23:59",874579,874687
450,"모르는 사람임","2023-05-07 01:25:34",901924,902062
452,"나랑 관련 없는 질문을 자꾸 보냄","2023-05-07 01:30:19",901924,902062
453,"사칭 계정","2023-05-07 01:31:24",907480,906431
455,"모르는 사람임","2023-05-07 01:36:38",847301,852455
456,"친구 사이가 어색해짐","2023-05-07 01:37:07",908205,897771
457,"사칭 계정","2023-05-07 01:38:45",925177,899247
458,"모르는 사람임","2023-05-07 01:40:07",881289,907304
459,"모르는 사람임","2023-05-07 01:41:17",912130,913482
460,"사칭 계정","2023-05-07 01:43:35",914939,893800
461,"모르는 사람임","2023-05-07 01:44:22",896124,930661
463,"모르는 사람임","2023-05-07 01:50:12",890515,928215
464,"친구 사이가 어색해짐","2023-05-07 01:50:34",901924,902062
465,"모르는 사람임","2023-05-07 01:50:52",905281,895461
466,"친구 사이가 어색해짐","2023-05-07 01:52:06",866056,911478
467,"친구 사이가 어색해짐","2023-05-07 01:53:17",924018,923548
468,"모르는 사람임","2023-05-07 01:58:04",929030,925589
469,"나랑 관련 없는 질문을 자꾸 보냄","2023-05-07 01:58:31",910772,904071
470,"모르는 사람임","2023-05-07 01:59:03",882940,863415
471,"너무 많은 양의 질문을 보냄","2023-05-07 02:00:27",903447,896747
474,"친구 사이가 어색해짐","2023-05-07 02:03:48",903623,870667
475,"모르는 사람임","2023-05-07 02:04:26",910772,904071
476,"사칭 계정","2023-05-07 02:04:35",910772,904071
477,"너무 많은 양의 질문을 보냄","2023-05-07 02:04:49",923279,911248
478,"사칭 계정","2023-05-07 02:06:04",872542,873534
479,"모르는 사람임","2023-05-07 02:11:41",901310,849133
480,"모르는 사람임","2023-05-07 02:13:59",872542,873534
482,"모르는 사람임","2023-05-07 02:14:45",912368,887069
483,"친구 사이가 어색해짐","2023-05-07 02:15:38",893758,886017
484,"친구 사이가 어색해짐","2023-05-07 02:15:46",898814,886017
485,"모르는 사람임","2023-05-07 02:15:59",890278,886017
486,"친구 사이가 어색해짐","2023-05-07 02:16:26",896776,886017
487,"모르는 사람임","2023-05-07 02:23:31",892480,884645
488,"너무 많은 양의 질문을 보냄","2023-05-07 02:28:59",935948,936751
492,"사칭 계정","2023-05-07 02:32:35",931717,920210
495,"친구 사이가 어색해짐","2023-05-07 02:36:23",910118,905213
496,"사칭 계정","2023-05-07 02:37:49",890830,882937
497,"모르는 사람임","2023-05-07 02:37:58",894804,913178
498,"모르는 사람임","2023-05-07 02:38:28",892759,923162
501,"모르는 사람임","2023-05-07 02:45:05",871380,905394
502,"모르는 사람임","2023-05-07 02:45:27",910816,905394
503,"친구 사이가 어색해짐","2023-05-07 02:47:52",904941,917244
504,"친구 사이가 어색해짐","2023-05-07 02:49:00",857110,917244
506,"모르는 사람임","2023-05-07 02:54:49",898020,897345
507,"사칭 계정","2023-05-07 02:54:53",934398,917756
508,"너무 많은 양의 질문을 보냄","2023-05-07 02:55:44",875304,890693
509,"모르는 사람임","2023-05-07 02:56:40",841679,895953
510,"모르는 사람임","2023-05-07 02:56:48",846825,895953
511,"너무 많은 양의 질문을 보냄","2023-05-07 03:00:49",884218,887387
512,"모르는 사람임","2023-05-07 03:01:53",914542,897953
513,"친구 사이가 어색해짐","2023-05-07 03:03:47",871617,870829
514,"친구 사이가 어색해짐","2023-05-07 03:07:27",934582,901101
515,"모르는 사람임","2023-05-07 03:07:33",934582,901101
516,"사칭 계정","2023-05-07 03:08:08",937402,891074
521,"모르는 사람임","2023-05-07 03:15:40",903607,937073
522,"모르는 사람임","2023-05-07 03:15:43",924363,937073
523,"모르는 사람임","2023-05-07 03:15:46",912390,937073
524,"모르는 사람임","2023-05-07 03:16:02",893723,937073
525,"나랑 관련 없는 질문을 자꾸 보냄","2023-05-07 03:16:14",915905,932201
528,"모르는 사람임","2023-05-07 03:20:40",937711,900056
529,"모르는 사람임","2023-05-07 03:23:57",865496,900018
531,"너무 많은 양의 질문을 보냄","2023-05-07 03:31:36",898020,901327
532,"모르는 사람임","2023-05-07 03:32:22",915662,897072
533,"친구 사이가 어색해짐","2023-05-07 03:32:30",880246,852645
535,"너무 많은 양의 질문을 보냄","2023-05-07 03:37:05",925676,937049
537,"나랑 관련 없는 질문을 자꾸 보냄","2023-05-07 03:41:47",914841,908492
538,"사칭 계정","2023-05-07 03:42:06",932540,895298
539,"친구 사이가 어색해짐","2023-05-07 03:44:34",933138,934941
540,"친구 사이가 어색해짐","2023-05-07 03:44:45",902452,934941
541,"모르는 사람임","2023-05-07 03:44:55",934411,934941
542,"모르는 사람임","2023-05-07 03:45:05",926402,934941
543,"모르는 사람임","2023-05-07 03:45:13",935462,934941
545,"사칭 계정","2023-05-07 03:46:07",937402,891775
546,"모르는 사람임","2023-05-07 03:48:10",896006,909143
547,"친구 사이가 어색해짐","2023-05-07 03:50:36",907721,883198
549,"친구 사이가 어색해짐","2023-05-07 03:51:23",907721,883198
550,"친구 사이가 어색해짐","2023-05-07 03:51:32",907721,883198
552,"친구 사이가 어색해짐","2023-05-07 03:51:56",907721,883198
553,"나랑 관련 없는 질문을 자꾸 보냄","2023-05-07 03:52:03",924877,918060
554,"모르는 사람임","2023-05-07 03:55:36",879753,882521
555,"친구 사이가 어색해짐","2023-05-07 03:55:49",914542,897953
556,"모르는 사람임","2023-05-07 03:57:33",939742,915953
557,"친구 사이가 어색해짐","2023-05-07 03:57:52",910815,940253
558,"사칭 계정","2023-05-07 04:05:26",870106,878060
562,"모르는 사람임","2023-05-07 04:08:39",890805,860064
563,"모르는 사람임","2023-05-07 04:09:08",890805,860064
565,"모르는 사람임","2023-05-07 04:17:36",938524,916585
566,"너무 많은 양의 질문을 보냄","2023-05-07 04:18:13",898020,896862
568,"나랑 관련 없는 질문을 자꾸 보냄","2023-05-07 04:22:15",898020,898283
569,"모르는 사람임","2023-05-07 04:26:08",898020,896862
570,"너무 많은 양의 질문을 보냄","2023-05-07 04:26:16",898020,896862
571,"나랑 관련 없는 질문을 자꾸 보냄","2023-05-07 04:26:34",898020,896862
572,"친구 사이가 어색해짐","2023-05-07 04:27:56",898363,888641
573,"나랑 관련 없는 질문을 자꾸 보냄","2023-05-07 04:28:11",898020,896862
574,"친구 사이가 어색해짐","2023-05-07 04:28:13",915417,911283
575,"모르는 사람임","2023-05-07 04:30:14",929767,942057
576,"친구 사이가 어색해짐","2023-05-07 04:30:14",933767,932926
