id,reason,created_at,question_id,user_id
319,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 05:06:28",197,841740
320,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 05:16:43",265,838986
321,기타,"2023-04-23 05:16:55",241,840743
322,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 05:17:06",241,840743
323,기타,"2023-04-23 05:21:09",247,840743
324,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 05:21:13",247,840743
325,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 05:23:16",126,841482
326,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 05:25:16",117,837786
327,기타,"2023-04-23 05:41:25",320,841668
328,기타,"2023-04-23 05:43:29",102,841768
329,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 05:53:40",125,841610
330,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 06:02:19",111,837587
331,"오타가 있음","2023-04-23 06:04:38",148,837764
332,기타,"2023-04-23 06:16:35",192,841589
333,기타,"2023-04-23 06:16:56",118,842647
334,기타,"2023-04-23 06:17:01",118,842647
335,기타,"2023-04-23 06:42:56",314,841519
336,"불쾌한 내용이 포함되어 있음","2023-04-23 07:06:05",108,839221
337,"불쾌한 내용이 포함되어 있음","2023-04-23 07:44:11",111,838743
338,"불쾌한 내용이 포함되어 있음","2023-04-23 07:44:17",111,838743
339,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 07:53:28",197,842716
340,"이 질문은 재미없어요","2023-04-23 08:35:50",219,839056
341,"이 질문은 재미없어요","2023-04-23 08:36:05",235,839056
342,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 08:45:59",307,841839
343,"이 질문은 재미없어요","2023-04-23 08:52:29",161,839056
344,"이 질문은 재미없어요","2023-04-23 08:54:03",248,839056
345,"이 질문은 재미없어요","2023-04-23 08:59:32",112,839056
346,"이 질문은 재미없어요","2023-04-23 09:11:59",206,839056
347,"이 질문은 재미없어요","2023-04-23 09:12:49",306,839056
348,"이 질문은 재미없어요","2023-04-23 09:14:33",277,837635
349,"이 질문은 재미없어요","2023-04-23 09:14:52",317,837635
350,기타,"2023-04-23 09:20:16",296,839456
351,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 09:28:29",319,841181
352,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 09:28:33",321,841181
353,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 09:28:36",157,841181
354,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 09:28:38",155,841181
355,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 09:28:41",127,841181
356,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 09:28:45",293,841181
357,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 09:28:50",249,841181
358,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 09:28:54",168,841181
359,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 09:29:00",262,841181
360,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 09:29:03",103,841181
361,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 09:29:08",319,841181
362,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 09:29:10",245,841181
363,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 09:29:12",201,841181
364,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 09:29:16",228,841181
365,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 09:29:19",202,841181
366,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 09:29:22",159,841181
367,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 09:29:27",286,841181
368,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 09:29:35",156,841181
369,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 09:29:39",318,841181
370,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 09:29:54",233,841181
371,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 09:29:57",235,841181
372,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 09:30:00",121,841181
373,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 09:30:03",255,841181
374,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 09:30:06",231,841181
375,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 09:30:09",182,841181
376,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 09:30:14",233,841181
377,"이 질문은 재미없어요","2023-04-23 09:44:20",130,839056
378,"이 질문은 재미없어요","2023-04-23 09:46:50",154,839056
379,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 09:51:59",209,842372
380,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 09:52:56",209,842372
381,"이 질문은 재미없어요","2023-04-23 10:04:49",255,839056
382,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 10:17:44",113,839893
383,기타,"2023-04-23 10:27:18",179,840565
384,기타,"2023-04-23 10:45:50",322,839893
385,"이 질문은 재미없어요","2023-04-23 11:16:04",299,839056
386,기타,"2023-04-23 11:20:42",130,841519
387,"오타가 있음","2023-04-23 11:39:28",103,837764
388,기타,"2023-04-23 11:40:12",232,840421
389,기타,"2023-04-23 11:40:19",232,840421
390,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 11:44:10",132,839836
391,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 11:44:40",251,840599
392,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 11:59:28",209,842372
393,"이 질문은 재미없어요","2023-04-23 11:59:49",111,842372
394,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 12:04:05",209,842372
395,기타,"2023-04-23 12:04:08",209,842372
396,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 12:04:15",209,842372
397,"이 질문은 재미없어요","2023-04-23 12:08:26",144,842662
398,"선정적이거나 자극적인 질문","2023-04-23 12:08:31",144,842662
399,"어떻게 이런 생각을? 이 질문 최고!","2023-04-23 12:10:01",224,838442
