id,reason,created_at
385,"기타 이유","2023-04-22 05:11:21"
386,"기타 이유","2023-04-22 05:19:33"
387,"구독료가 너무 비싸서","2023-04-22 05:26:03"
388,"함께 할 친구가 없어서","2023-04-22 05:35:49"
389,"기타 이유","2023-04-22 05:44:04"
390,"기타 이유","2023-04-22 06:21:45"
392,"기타 이유","2023-04-22 06:34:42"
393,"함께 할 친구가 없어서","2023-04-22 06:39:13"
394,"함께 할 친구가 없어서","2023-04-22 06:41:27"
395,"기타 이유","2023-04-22 07:05:39"
396,"재밌는 질문이 없어서","2023-04-22 07:15:05"
397,"기타 이유","2023-04-22 07:22:37"
398,"함께 할 친구가 없어서","2023-04-22 07:26:02"
399,"기타 이유","2023-04-22 07:26:12"
400,"기타 이유","2023-04-22 07:30:27"
401,"기타 이유","2023-04-22 07:51:13"
402,"재밌는 질문이 없어서","2023-04-22 07:55:43"
403,"기타 이유","2023-04-22 08:16:34"
404,"기타 이유","2023-04-22 08:36:27"
405,"재밌는 질문이 없어서","2023-04-22 08:40:55"
406,"기타 이유","2023-04-22 08:46:34"
407,"기타 이유","2023-04-22 08:49:16"
408,"함께 할 친구가 없어서","2023-04-22 08:57:10"
409,"기타 이유","2023-04-22 09:47:13"
410,"기타 이유","2023-04-22 09:56:17"
411,"기타 이유","2023-04-22 10:09:01"
412,"기타 이유","2023-04-22 10:25:13"
413,"함께 할 친구가 없어서","2023-04-22 10:33:30"
414,"구독료가 너무 비싸서","2023-04-22 10:34:00"
415,"기타 이유","2023-04-22 10:46:04"
416,"기타 이유","2023-04-22 10:52:01"
417,"기타 이유","2023-04-22 10:52:55"
418,"함께 할 친구가 없어서","2023-04-22 10:57:49"
419,"기타 이유","2023-04-22 11:06:23"
420,"함께 할 친구가 없어서","2023-04-22 11:09:01"
421,"기타 이유","2023-04-22 11:44:30"
422,"기타 이유","2023-04-22 11:50:36"
423,"기타 이유","2023-04-22 11:51:39"
424,"기타 이유","2023-04-22 11:58:19"
425,"기타 이유","2023-04-22 12:06:28"
426,"기타 이유","2023-04-22 12:17:45"
427,"함께 할 친구가 없어서","2023-04-22 12:19:40"
428,"기타 이유","2023-04-22 12:26:33"
429,"기타 이유","2023-04-22 12:49:21"
430,"기타 이유","2023-04-22 12:59:47"
431,"기타 이유","2023-04-22 13:07:19"
432,"기타 이유","2023-04-22 13:08:36"
433,"기타 이유","2023-04-22 13:12:08"
434,"기타 이유","2023-04-22 13:14:28"
435,"기타 이유","2023-04-22 13:15:39"
436,"기타 이유","2023-04-22 13:21:54"
437,"기타 이유","2023-04-22 13:30:28"
438,"기타 이유","2023-04-22 13:36:08"
439,"기타 이유","2023-04-22 13:45:30"
440,"기타 이유","2023-04-22 13:50:28"
441,"기타 이유","2023-04-22 14:03:42"
442,"기타 이유","2023-04-22 14:08:17"
443,"기타 이유","2023-04-22 14:10:02"
444,"함께 할 친구가 없어서","2023-04-22 14:16:44"
445,"기타 이유","2023-04-22 14:28:55"
446,"기타 이유","2023-04-22 14:35:25"
447,"재밌는 질문이 없어서","2023-04-22 14:40:57"
448,"재밌는 질문이 없어서","2023-04-22 14:48:42"
449,"기타 이유","2023-04-22 14:50:58"
450,"기타 이유","2023-04-22 15:02:18"
451,"기타 이유","2023-04-22 15:14:43"
452,"기타 이유","2023-04-22 15:17:54"
453,"함께 할 친구가 없어서","2023-04-22 15:19:52"
454,"함께 할 친구가 없어서","2023-04-22 15:28:50"
455,"기타 이유","2023-04-22 15:31:34"
456,"함께 할 친구가 없어서","2023-04-22 15:35:03"
457,"함께 할 친구가 없어서","2023-04-22 15:44:05"
458,"함께 할 친구가 없어서","2023-04-22 15:47:01"
459,"기타 이유","2023-04-22 15:47:33"
460,"기타 이유","2023-04-22 15:48:17"
461,"함께 할 친구가 없어서","2023-04-22 16:00:40"
462,"기타 이유","2023-04-22 16:26:26"
463,"재밌는 질문이 없어서","2023-04-22 16:29:09"
464,"기타 이유","2023-04-22 16:40:28"
465,"기타 이유","2023-04-22 16:52:02"
466,"함께 할 친구가 없어서","2023-04-22 16:53:08"
467,"기타 이유","2023-04-22 16:54:24"
468,"함께 할 친구가 없어서","2023-04-22 17:05:35"
469,"재밌는 질문이 없어서","2023-04-22 17:14:47"
470,"기타 이유","2023-04-22 17:15:11"
471,"기타 이유","2023-04-22 17:23:14"
472,"함께 할 친구가 없어서","2023-04-22 17:54:07"
473,"함께 할 친구가 없어서","2023-04-22 19:06:31"
474,"기타 이유","2023-04-22 19:27:07"
475,"기타 이유","2023-04-22 20:45:06"
476,"기타 이유","2023-04-22 23:37:14"
477,"기타 이유","2023-04-22 23:37:14"
478,"기타 이유","2023-04-23 00:30:31"
479,"기타 이유","2023-04-23 00:47:18"
480,"함께 할 친구가 없어서","2023-04-23 01:05:52"
481,"함께 할 친구가 없어서","2023-04-23 01:18:17"
482,"재밌는 질문이 없어서","2023-04-23 01:30:11"
483,"재밌는 질문이 없어서","2023-04-23 01:40:00"
484,"기타 이유","2023-04-23 01:40:20"
485,"함께 할 친구가 없어서","2023-04-23 01:42:52"
486,"재밌는 질문이 없어서","2023-04-23 01:51:08"
487,"함께 할 친구가 없어서","2023-04-23 02:01:28"
488,"기타 이유","2023-04-23 02:04:50"
489,"함께 할 친구가 없어서","2023-04-23 02:08:05"
490,"재밌는 질문이 없어서","2023-04-23 02:18:05"
491,"기타 이유","2023-04-23 03:01:29"
492,"기타 이유","2023-04-23 03:08:29"
493,"함께 할 친구가 없어서","2023-04-23 03:18:36"
494,"함께 할 친구가 없어서","2023-04-23 03:19:55"
495,"기타 이유","2023-04-23 03:46:02"
496,"함께 할 친구가 없어서","2023-04-23 03:47:40"
497,"기타 이유","2023-04-23 03:55:16"
498,"기타 이유","2023-04-23 04:15:17"
499,"재밌는 질문이 없어서","2023-04-23 04:23:49"
500,"버그가 너무 많아서","2023-04-23 04:26:32"
502,"기타 이유","2023-04-23 04:34:18"
503,"기타 이유","2023-04-23 04:35:47"
504,"재밌는 질문이 없어서","2023-04-23 04:44:56"
505,"기타 이유","2023-04-23 04:45:53"
506,"기타 이유","2023-04-23 04:52:35"
507,"함께 할 친구가 없어서","2023-04-23 04:55:42"
508,"기타 이유","2023-04-23 05:05:05"
509,"재밌는 질문이 없어서","2023-04-23 05:14:19"
510,"기타 이유","2023-04-23 05:15:21"
511,"함께 할 친구가 없어서","2023-04-23 05:27:18"
512,"기타 이유","2023-04-23 05:33:02"
513,"함께 할 친구가 없어서","2023-04-23 06:09:50"
514,"버그가 너무 많아서","2023-04-23 06:21:18"
515,"함께 할 친구가 없어서","2023-04-23 06:25:12"
516,"구독료가 너무 비싸서","2023-04-23 06:42:58"
517,"기타 이유","2023-04-23 06:57:06"
518,"재밌는 질문이 없어서","2023-04-23 07:25:38"
519,"함께 할 친구가 없어서","2023-04-23 07:35:30"
520,"기타 이유","2023-04-23 08:15:43"
521,"기타 이유","2023-04-23 08:26:45"
522,"함께 할 친구가 없어서","2023-04-23 08:33:19"
523,"기타 이유","2023-04-23 08:47:33"
524,"재밌는 질문이 없어서","2023-04-23 08:52:35"
525,"함께 할 친구가 없어서","2023-04-23 08:57:52"
526,"기타 이유","2023-04-23 09:23:48"
527,"재밌는 질문이 없어서","2023-04-23 09:45:18"
528,"함께 할 친구가 없어서","2023-04-23 09:55:47"
529,"기타 이유","2023-04-23 09:58:48"
530,"함께 할 친구가 없어서","2023-04-23 10:03:12"
531,"기타 이유","2023-04-23 10:05:17"
532,"함께 할 친구가 없어서","2023-04-23 10:06:15"
