id,is_voted,created_at,question_id,is_skipped
1004878,1,"2023-04-28 12:50:24",258,0
1004879,1,"2023-04-28 12:50:24",202,0
1004881,1,"2023-04-28 12:50:24",177,0
1004883,1,"2023-04-28 12:50:24",281,0
1004884,1,"2023-04-28 12:50:24",227,0
1004885,1,"2023-04-28 12:50:24",310,0
1004887,1,"2023-04-28 12:50:24",246,0
1004968,1,"2023-04-28 12:51:05",168,0
1004970,1,"2023-04-28 12:51:05",175,0
1004971,1,"2023-04-28 12:51:05",235,0
1004972,1,"2023-04-28 12:51:05",213,0
1004973,1,"2023-04-28 12:51:05",270,0
1004975,1,"2023-04-28 12:51:05",253,0
1004976,1,"2023-04-28 12:51:05",273,0
1005248,1,"2023-04-28 12:52:21",217,0
1005249,1,"2023-04-28 12:52:21",286,0
1005250,1,"2023-04-28 12:52:21",144,0
1005251,1,"2023-04-28 12:52:21",159,0
1005252,1,"2023-04-28 12:52:21",142,0
1005253,1,"2023-04-28 12:52:21",128,0
1005254,1,"2023-04-28 12:52:21",178,0
1005255,1,"2023-04-28 12:52:21",244,0
1005256,1,"2023-04-28 12:52:21",124,0
1005257,1,"2023-04-28 12:52:21",167,0
1005458,1,"2023-04-28 12:53:19",297,0
1005459,1,"2023-04-28 12:53:19",228,0
1005460,1,"2023-04-28 12:53:19",320,0
1005461,1,"2023-04-28 12:53:19",254,0
1005462,1,"2023-04-28 12:53:19",172,0
1005463,1,"2023-04-28 12:53:19",123,0
1005464,1,"2023-04-28 12:53:19",168,0
1005465,1,"2023-04-28 12:53:19",131,0
1005466,1,"2023-04-28 12:53:19",194,0
1005467,1,"2023-04-28 12:53:19",252,0
1005498,1,"2023-04-28 12:53:24",224,0
1005500,1,"2023-04-28 12:53:24",213,0
1005502,1,"2023-04-28 12:53:24",259,0
1005504,1,"2023-04-28 12:53:24",230,0
1005505,1,"2023-04-28 12:53:24",245,0
1005506,1,"2023-04-28 12:53:24",106,0
1005507,1,"2023-04-28 12:53:24",254,0
1005678,1,"2023-04-28 12:54:07",269,0
1005679,1,"2023-04-28 12:54:07",279,0
1005681,1,"2023-04-28 12:54:07",118,0
1005682,1,"2023-04-28 12:54:07",155,0
1005684,1,"2023-04-28 12:54:07",293,0
1005685,1,"2023-04-28 12:54:07",127,0
1005687,1,"2023-04-28 12:54:07",150,0
1005951,1,"2023-04-28 12:55:11",265,0
1005953,1,"2023-04-28 12:55:11",278,0
1005954,1,"2023-04-28 12:55:11",178,0
1005998,1,"2023-04-28 12:55:17",256,0
1006000,1,"2023-04-28 12:55:17",157,0
1006001,1,"2023-04-28 12:55:17",298,0
1006002,1,"2023-04-28 12:55:17",188,0
1006003,1,"2023-04-28 12:55:17",270,0
1006004,1,"2023-04-28 12:55:17",110,0
1006005,1,"2023-04-28 12:55:17",303,0
1006007,1,"2023-04-28 12:55:17",154,0
1006108,1,"2023-04-28 12:55:42",103,0
1006110,1,"2023-04-28 12:55:42",190,0
1006111,1,"2023-04-28 12:55:42",128,0
1006112,1,"2023-04-28 12:55:42",112,0
1006114,1,"2023-04-28 12:55:42",232,0
1006116,1,"2023-04-28 12:55:42",178,0
1006117,1,"2023-04-28 12:55:42",215,0
1006208,1,"2023-04-28 12:56:10",148,0
1006209,1,"2023-04-28 12:56:10",207,0
1006210,1,"2023-04-28 12:56:10",284,0
1006211,1,"2023-04-28 12:56:10",159,0
1006212,1,"2023-04-28 12:56:10",124,0
1006213,1,"2023-04-28 12:56:10",195,0
1006214,1,"2023-04-28 12:56:10",249,0
1006215,1,"2023-04-28 12:56:10",303,0
1006216,1,"2023-04-28 12:56:10",235,0
1006217,1,"2023-04-28 12:56:10",298,0
1006368,1,"2023-04-28 12:57:15",152,0
1006369,1,"2023-04-28 12:57:15",308,0
1006528,1,"2023-04-28 12:58:02",301,0
1006529,1,"2023-04-28 12:58:02",244,0
1006530,1,"2023-04-28 12:58:02",286,0
1006531,1,"2023-04-28 12:58:02",204,0
1006532,1,"2023-04-28 12:58:02",265,0
1006533,1,"2023-04-28 12:58:02",246,0
1006534,1,"2023-04-28 12:58:02",133,0
1006535,1,"2023-04-28 12:58:02",170,0
1006537,1,"2023-04-28 12:58:02",141,0
1006538,1,"2023-04-28 12:58:02",183,0
1006539,1,"2023-04-28 12:58:02",291,0
1006540,1,"2023-04-28 12:58:02",260,0
1006541,1,"2023-04-28 12:58:02",157,0
1006542,1,"2023-04-28 12:58:02",276,0
1006543,1,"2023-04-28 12:58:02",181,0
1006544,1,"2023-04-28 12:58:02",119,0
1006545,1,"2023-04-28 12:58:02",309,0
1006546,1,"2023-04-28 12:58:02",241,0
1006658,1,"2023-04-28 12:58:40",280,0
1006659,1,"2023-04-28 12:58:40",188,0
1006665,1,"2023-04-28 12:58:40",198,0
1006699,1,"2023-04-28 12:58:50",137,0
1006700,1,"2023-04-28 12:58:50",317,0
1006703,1,"2023-04-28 12:58:50",159,0
1006704,1,"2023-04-28 12:58:50",284,0
1006705,1,"2023-04-28 12:58:50",325,0
1006706,1,"2023-04-28 12:58:50",107,0
1006707,1,"2023-04-28 12:58:50",184,0
1006729,1,"2023-04-28 12:58:55",179,0
1006730,1,"2023-04-28 12:58:55",269,0
1006731,1,"2023-04-28 12:58:55",128,0
1006734,1,"2023-04-28 12:58:55",271,0
1006735,1,"2023-04-28 12:58:55",307,0
1006737,1,"2023-04-28 12:58:55",157,0
1006878,1,"2023-04-28 12:59:51",296,0
1006879,1,"2023-04-28 12:59:51",162,0
1006880,1,"2023-04-28 12:59:52",207,0
1006881,1,"2023-04-28 12:59:52",261,0
1006882,1,"2023-04-28 12:59:52",318,0
1006883,1,"2023-04-28 12:59:52",186,0
1006885,1,"2023-04-28 12:59:52",245,0
1006886,1,"2023-04-28 12:59:52",141,0
1006887,1,"2023-04-28 12:59:52",105,0
1006888,1,"2023-04-28 13:00:00",286,0
1006889,1,"2023-04-28 13:00:00",218,0
1006890,1,"2023-04-28 13:00:00",146,0
1006891,1,"2023-04-28 13:00:00",258,0
1006892,1,"2023-04-28 13:00:00",256,0
1006893,1,"2023-04-28 13:00:00",235,0
1006894,1,"2023-04-28 13:00:00",128,0
1006895,1,"2023-04-28 13:00:00",208,0
1006896,1,"2023-04-28 13:00:00",121,0
1006897,1,"2023-04-28 13:00:00",260,0
1006938,1,"2023-04-28 13:00:12",148,0
1006939,1,"2023-04-28 13:00:12",202,0
1006940,1,"2023-04-28 13:00:12",224,0
1006941,1,"2023-04-28 13:00:12",128,0
1006942,1,"2023-04-28 13:00:12",247,0
1006943,1,"2023-04-28 13:00:12",201,0
1006945,1,"2023-04-28 13:00:12",137,0
1006946,1,"2023-04-28 13:00:12",159,0
1007018,1,"2023-04-28 13:00:38",139,0
1007019,1,"2023-04-28 13:00:38",199,0
1007020,1,"2023-04-28 13:00:38",249,0
1007021,1,"2023-04-28 13:00:38",251,0
1007022,1,"2023-04-28 13:00:38",214,0
1007023,1,"2023-04-28 13:00:38",218,0
1007024,1,"2023-04-28 13:00:38",203,0
1007025,1,"2023-04-28 13:00:38",132,0
1007026,1,"2023-04-28 13:00:38",153,0
1007027,1,"2023-04-28 13:00:38",226,0
1007058,1,"2023-04-28 13:00:56",222,0
1007059,1,"2023-04-28 13:00:56",308,0
1007061,1,"2023-04-28 13:00:56",129,0
1007065,1,"2023-04-28 13:00:56",194,0
1007066,1,"2023-04-28 13:00:56",116,0
1007067,1,"2023-04-28 13:00:56",118,0
1007328,1,"2023-04-28 13:02:08",220,0
1007329,1,"2023-04-28 13:02:08",315,0
1007330,1,"2023-04-28 13:02:08",100,0
1007331,1,"2023-04-28 13:02:08",303,0
1007333,1,"2023-04-28 13:02:08",249,0
1007334,1,"2023-04-28 13:02:08",116,0
1007335,1,"2023-04-28 13:02:08",311,0
1007336,1,"2023-04-28 13:02:08",138,0
1007337,1,"2023-04-28 13:02:08",196,0
1007643,1,"2023-04-28 13:03:28",139,0
1007644,1,"2023-04-28 13:03:28",275,0
1007645,1,"2023-04-28 13:03:28",178,0
1007646,1,"2023-04-28 13:03:28",204,0
1007647,1,"2023-04-28 13:03:28",146,0
1008068,1,"2023-04-28 13:05:54",220,0
1008069,1,"2023-04-28 13:05:54",172,0
1008070,1,"2023-04-28 13:05:54",203,0
1008071,1,"2023-04-28 13:05:54",235,0
1008072,1,"2023-04-28 13:05:54",258,0
1008073,1,"2023-04-28 13:05:54",152,0
1008074,1,"2023-04-28 13:05:54",279,0
1008075,1,"2023-04-28 13:05:54",223,0
1008076,1,"2023-04-28 13:05:54",233,0
1008158,1,"2023-04-28 13:06:08",159,0
1008160,1,"2023-04-28 13:06:08",218,0
1008161,1,"2023-04-28 13:06:08",284,0
1008162,1,"2023-04-28 13:06:08",225,0
1008164,1,"2023-04-28 13:06:08",120,0
1008165,1,"2023-04-28 13:06:08",182,0
1008166,1,"2023-04-28 13:06:08",160,0
1008308,1,"2023-04-28 13:06:55",237,0
1008309,1,"2023-04-28 13:06:55",319,0
1008310,1,"2023-04-28 13:06:55",162,0
1008311,1,"2023-04-28 13:06:55",100,0
1008312,1,"2023-04-28 13:06:55",150,0
1008313,1,"2023-04-28 13:06:55",106,0
1008315,1,"2023-04-28 13:06:55",171,0
1008316,1,"2023-04-28 13:06:55",118,0
1008317,1,"2023-04-28 13:06:55",110,0
1008478,1,"2023-04-28 13:07:45",241,0
1008479,1,"2023-04-28 13:07:45",212,0
